E_true,E_rec
20,25.89261236656691
20,24.68665119790283
20,21.70026115472359
20,23.740455861393485
20,26.84084994437913
20,22.22807337695827
20,27.727699906575154
20,19.105516618765456
20,20.36427864752028
20,21.550410607135582
20,22.369097392284633
20,24.284010737828407
20,21.746974433185382
20,22.648363836365423
20,23.06314086876458
20,22.987986645697706
20,18.08581561327511
20,22.506092453728233
20,21.08394003598073
20,23.532928641049885
20,25.300292993834613
20,19.36353142174324
20,21.39923730351323
20,19.76359121748331
20,19.236270716024695
20,24.827701041227186
20,22.388659080298595
20,23.014084284351497
20,21.543046755889616
20,21.602762236683024
20,24.53297771236747
20,21.912121875980443
20,18.714314959804533
20,25.00816796333486
20,23.015487783824927
20,19.326680995095085
20,24.781848492920346
20,26.127227475974333
20,22.32562264667144
20,24.09822370356403
20,20.901789035454446
20,24.336909236679514
20,21.523890883891745
20,24.94176531791618
20,25.769664370744714
20,19.138944244081387
20,21.670036082752105
20,20.46910544883002
20,18.64064050351692
20,20.695631997344897
20,21.59555963653926
20,24.516962948638263
20,22.93877231445131
20,19.2469252078171
20,23.20458560114814
20,18.864262796538014
20,23.085857130917233
20,22.730135853299704
20,21.040587605751234
20,23.416728269163514
20,25.91744838283571
20,20.75552801067064
20,22.113711271550898
20,21.004362012314868
20,22.88638598486602
20,22.181798824590015
20,20.113327640683316
20,21.553215345892163
20,22.938992617927354
20,20.642407498756594
20,22.478531461033388
20,25.128830665323953
20,22.145323533431124
20,21.196392896276066
20,23.46486330150392
20,20.04182229972137
20,21.381006266255334
20,25.47958605251664
20,18.45551700231555
20,25.552754490379073
20,22.54132163212441
20,21.41560651321014
20,22.2857271431597
20,22.080826720671144
20,22.795640772119967
20,20.04902824237443
20,21.550296684004667
20,22.069170725134725
20,21.430695682336243
20,22.137767198857098
20,21.355296775997093
20,22.080036869717016
20,22.32647052980905
20,19.229455643893196
20,21.809498355231543
20,23.700836758082207
20,22.160514371290322
20,21.857670235743154
20,21.567060783867554
20,22.242773065264156
20,23.340628480262428
20,17.492842235705595
20,24.22383041656571
20,21.05705681599776
20,22.655229139687055
20,25.177465651344633
20,20.216148577342413
20,22.716150235548444
20,20.572070120546257
20,19.36662027359445
20,20.057335840090914
20,18.498744450445074
20,23.815809008621844
20,25.05893776600447
20,24.095085298515485
20,21.838893419537182
20,22.938771306381806
20,22.368707281034485
20,21.86948193955163
20,25.075863632441205
20,27.12142485209251
20,22.133630219006285
20,17.041360961356034
20,20.840192517569633
20,23.587951724830166
20,23.170540524664133
20,25.17587296083159
20,21.180553597468762
20,19.49894969905903
20,22.65296865253633
20,19.656033561143165
20,23.328333910527725
20,21.441429071483675
20,20.988327856621567
20,24.313200335994104
20,21.836021338574174
20,21.439659456533935
20,20.05453870075093
20,22.06371923028197
20,21.976220513432057
20,27.014696626316674
20,17.631587814135212
20,23.801603374807332
20,26.44386687567892
20,22.010609073100845
20,23.114463485141986
20,21.6427956299294
20,21.177681771774424
20,19.728586937959868
20,23.952280248472267
20,22.453452296736
20,19.438139560593235
20,25.20180231330099
20,24.77049972752749
20,22.31304841214904
20,24.602735903268123
20,20.971466120513043
20,25.335923719012847
20,25.277026100927788
20,21.534349120777662
20,25.560657551588868
20,21.417120744945734
20,18.08550241430046
20,20.20503196497303
20,20.21207789561865
20,22.17226888900273
20,22.10428877646449
20,22.481405522488338
20,22.617509077130542
20,20.46567297929938
20,18.804020760777377
20,23.062572241847246
20,26.2330513496705
20,19.806526455792536
20,20.21552889682685
20,26.492228997779257
20,19.468255141163333
20,24.61562981020238
20,23.5716081297271
20,19.24920302588272
20,21.682303511294872
20,22.736473797785738
20,18.946299442705776
20,24.748874615236495
20,21.238377512621746
20,19.922573426571883
20,23.99899522677524
20,19.096300438984215
20,24.815836405232158
20,20.71870987986793
20,21.024739831231173
20,24.174801866014658
20,23.727443096132962
20,24.08120058846479
20,19.626550859416394
20,23.03602669479767
20,20.443712597545094
20,24.404687261366536
20,24.072994700845484
20,18.428685792523712
20,24.300557137522436
20,25.040300412949442
20,29.133704678163397
20,22.17107402015233
20,17.97057479463534
20,21.010482079046298
20,22.55442350659929
20,23.809011839786688
20,24.14543427622867
20,21.45927863353127
20,23.153732288943505
20,24.05306444041225
20,24.04152090082094
20,22.023231066842296
20,23.0335742625287
20,23.420383023647396
20,20.98955817932154
20,19.423251265440193
20,21.957988532945368
20,19.924940493734546
20,19.224345895632116
20,21.56691264237124
20,23.59567886226362
20,21.8987918913624
20,24.058347878699553
20,24.066602221447152
20,19.74799385932565
20,23.012696475452287
20,18.46395062095026
20,22.390031876456444
20,21.938244058206184
20,25.125429768739565
20,21.81890719332322
20,24.524942128624055
20,21.117023542376685
20,22.73261373417532
20,22.14179447468441
20,22.2951303140286
20,22.68008729895248
20,19.949753149488316
20,22.00718634459623
20,22.836051561193553
20,25.00767163818281
20,24.599438736927127
20,23.33723614089309
20,22.498109819249127
20,18.61281970838652
20,27.301911217565458
20,19.059422838663302
20,18.21758941941024
20,20.220770896859065
20,22.514599577132522
20,20.080394157540265
20,19.36664199852098
20,21.4402750882168
20,25.37984750207559
20,22.48665489922272
20,21.130943817483924
20,21.033405435808575
20,18.040004063164815
20,24.211301100780513
20,21.821635298693984
20,22.681628065785368
20,22.593509431529064
20,22.19740880987658
20,22.479613441343293
20,20.30441947473109
20,23.488695766148414
20,26.827080083250607
20,22.261722221271846
20,18.437372511167222
20,23.357826647835815
20,23.211752407901585
20,19.54017773853193
20,21.028315116614205
20,19.95032563951516
20,19.518696705274497
20,24.319718467618543
20,24.85233474848803
20,21.487358471133295
20,22.49911266030575
20,18.66068846750674
20,22.21428105372892
20,21.227413892645956
20,26.263313526370027
20,22.540910496686376
20,24.59433431849366
20,21.971523816930787
20,21.812026057792913
20,24.65892786907677
20,23.83240237188222
20,18.2715931292137
20,23.67227917228653
20,23.852740722421903
20,23.58119591978494
20,23.851278271524983
20,24.526274735062703
20,19.306278008715683
20,18.014047256606624
20,23.14029573212411
20,18.939514228554398
20,21.26680758269565
20,21.487675467292764
20,21.706025138227577
20,24.272766442659787
20,21.65933704459797
20,19.935317257341836
20,23.456616050214485
20,26.550876395483495
20,23.26463408335043
20,18.30413599613852
20,21.767999011370833
